,0
0,0.0022028329422822653
1,0.0012670306511143683
2,0.0001892521609476123
3,0.00044634264559305185
4,0.20296658706321313
5,0.00010315556199486458
6,0.0002807630546282372
7,2.831721309663099e-06
8,0.014770892023104136
9,0.0006255605516729315
10,0.008138659980658918
11,0.0002712236483669995
12,0.0006559296270019508
13,1.644808335187202e-05
14,0.054211779700486996
15,0.00019912560807676567
16,0.00033517283138010436
17,0.0001596196590868017
18,0.005864994547837576
19,2.3206301464556038e-05
20,4.7572918002347104e-05
21,0.0007152456074657047
22,2.5140159919934442e-05
23,0.6953662946004685
24,0.0009538832909348209
25,0.0005455842949200244
26,0.00341081042756469
27,0.00016858004432293398
28,0.0004145165964704621
29,2.841956446926928e-05
30,0.0010175318572723364
31,0.0016003001028009388
32,0.00027179467927569863
33,0.00015677438887133911
34,2.422694898267319e-05
35,0.0024864282924659396
36,3.548786221948751e-05
